Type,MarketName,MarketHashName,Marketable,Exterior,ItemSet,Quality,Rarity,Weapon,AveragePrice,MedianPrice,LowestPrice,HighestPrice,Currency,StandardDeviation,Volume
Base Grade Container,Glove Case,Glove Case,Yes,,The Glove Collection,Normal,Base Grade,,6.07,6.09,4.71,6.28,USD,2.51,81277
Souvenir Consumer Grade Shotgun,Souvenir Nova | Walnut (Minimal Wear),Souvenir Nova | Walnut (Minimal Wear),Yes,Minimal Wear,The Inferno Collection,Souvenir,Consumer Grade,Nova,2.47,2.4,0.86,5.2,USD,36.12,46
Mil-Spec Grade SMG,MAC-10 | Oceanic (Field-Tested),MAC-10 | Oceanic (Field-Tested),Yes,Field-Tested,The Spectrum 2 Collection,Normal,Mil-Spec Grade,MAC-10,0.11,0.11,0.1,0.13,USD,10,3902
Base Grade Graffiti,Sealed Graffiti | Bling (War Pig Pink),Sealed Graffiti | Bling (War Pig Pink),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,1094
Souvenir Consumer Grade Shotgun,Souvenir MAG-7 | Sand Dune (Minimal Wear),Souvenir MAG-7 | Sand Dune (Minimal Wear),Yes,Minimal Wear,The Inferno Collection,Souvenir,Consumer Grade,MAG-7,0.79,0.72,0.5,3.91,USD,63.01,71
Mil-Spec Grade Pistol,Five-SeveN | Violent Daimyo (Factory New),Five-SeveN | Violent Daimyo (Factory New),Yes,Factory New,The Gamma Collection,Normal,Mil-Spec Grade,Five-SeveN,0.76,0.76,0.69,0.85,USD,5.71,942
Base Grade Graffiti,Sealed Graffiti | Eat It (Princess Pink),Sealed Graffiti | Eat It (Princess Pink),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,545
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Classified SMG,UMP-45 | Primal Saber (Field-Tested),UMP-45 | Primal Saber (Field-Tested),Yes,Field-Tested,The Chroma 3 Collection,Normal,Classified,UMP-45,2.9,2.91,1.8,3.24,USD,7.49,1288
StatTrak™ Restricted SMG,StatTrak™ MP9 | Rose Iron (Minimal Wear),StatTrak™ MP9 | Rose Iron (Minimal Wear),Yes,Minimal Wear,The Winter Offensive Collection,StatTrak™,Restricted,MP9,13.27,13.44,9.26,19.07,USD,13.19,37
Base Grade Graffiti,Sealed Graffiti | Tombstone (Cash Green),Sealed Graffiti | Tombstone (Cash Green),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.04,USD,0,759
Consumer Grade Pistol,Dual Berettas | Contractor (Field-Tested),Dual Berettas | Contractor (Field-Tested),Yes,Field-Tested,The Safehouse Collection,Normal,Consumer Grade,Dual Berettas,0.03,0.03,0.03,0.05,USD,0,17307
StatTrak™ Classified Pistol,StatTrak™ P250 | Undertow (Minimal Wear),StatTrak™ P250 | Undertow (Minimal Wear),Yes,Minimal Wear,The Arms Deal 3 Collection,StatTrak™,Classified,P250,44.24,43.89,40.7,51.05,USD,7.94,7
StatTrak™ Mil-Spec Grade Rifle,StatTrak™ Galil AR | Black Sand (Field-Tested),StatTrak™ Galil AR | Black Sand (Field-Tested),Yes,Field-Tested,The Glove Collection,StatTrak™,Mil-Spec Grade,Galil AR,0.41,0.41,0.31,0.45,USD,7.89,618
Mil-Spec Grade Shotgun,MAG-7 | Sonar (Factory New),MAG-7 | Sonar (Factory New),Yes,Factory New,The Glove Collection,Normal,Mil-Spec Grade,MAG-7,0.48,0.47,0.35,0.57,USD,9.09,590
StatTrak™ Restricted Sniper Rifle,StatTrak™ AWP | Worm God (Factory New),StatTrak™ AWP | Worm God (Factory New),Yes,Factory New,The Chroma 2 Collection,StatTrak™,Restricted,AWP,11.56,11.65,8.81,17.65,USD,8.47,375
Base Grade Container,Spectrum Case,Spectrum Case,Yes,,The Spectrum Collection,Normal,Base Grade,,2.96,3.02,2.57,3.22,USD,4.78,76827
StatTrak™ Classified Rifle,StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear),StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear),Yes,Minimal Wear,The Chroma Collection,StatTrak™,Classified,M4A4,52.13,53.98,43.38,63.48,USD,8.97,50
Base Grade Graffiti,Sealed Graffiti | NaCl (Shark White),Sealed Graffiti | NaCl (Shark White),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.04,USD,0,13411
Base Grade Container,Spectrum Case,Spectrum Case,Yes,,The Spectrum Collection,Normal,Base Grade,,2.96,3.02,2.57,3.22,USD,4.78,76827
Base Grade Graffiti,Sealed Graffiti | Take Flight (Brick Red),Sealed Graffiti | Take Flight (Brick Red),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,447
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Consumer Grade Pistol,Dual Berettas | Contractor (Field-Tested),Dual Berettas | Contractor (Field-Tested),Yes,Field-Tested,The Safehouse Collection,Normal,Consumer Grade,Dual Berettas,0.03,0.03,0.03,0.05,USD,0,17307
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Covert Pistol,USP-S | Kill Confirmed (Field-Tested),USP-S | Kill Confirmed (Field-Tested),Yes,Field-Tested,The Shadow Collection,Normal,Covert,USP-S,79.18,69.02,59.9,630.55,USD,100.27,228
Base Grade Graffiti,Sealed Graffiti | Karambit (Wire Blue),Sealed Graffiti | Karambit (Wire Blue),Yes,,,Normal,Base Grade,,0.04,0.03,0.03,0.12,USD,25,724
Restricted Pistol,CZ75-Auto | Tigris (Minimal Wear),CZ75-Auto | Tigris (Minimal Wear),Yes,Minimal Wear,The Breakout Collection,Normal,Restricted,CZ75-Auto,1.21,1.21,0.95,1.45,USD,8.11,116
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Consumer Grade Rifle,SG 553 | Army Sheen (Minimal Wear),SG 553 | Army Sheen (Minimal Wear),Yes,Minimal Wear,The Bank Collection,Normal,Consumer Grade,SG 553,0.03,0.03,0.03,0.05,USD,0,8497
Base Grade Graffiti,Sealed Graffiti | Sorry (Jungle Green),Sealed Graffiti | Sorry (Jungle Green),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,677
Base Grade Container,Spectrum Case,Spectrum Case,Yes,,The Spectrum Collection,Normal,Base Grade,,2.96,3.02,2.57,3.22,USD,4.78,76827
Industrial Grade Machinegun,M249 | Gator Mesh (Field-Tested),M249 | Gator Mesh (Field-Tested),Yes,Field-Tested,The Safehouse Collection,Normal,Industrial Grade,M249,0.15,0.15,0.13,0.17,USD,7.14,4332
StatTrak™ Classified Rifle,StatTrak™ AK-47 | Frontside Misty (Minimal Wear),StatTrak™ AK-47 | Frontside Misty (Minimal Wear),Yes,Minimal Wear,The Shadow Collection,StatTrak™,Classified,AK-47,95.5,95.67,82.4,115.03,USD,6.03,49
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Base Grade Graffiti,Sealed Graffiti | X-Axes (Monarch Blue),Sealed Graffiti | X-Axes (Monarch Blue),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,594
Consumer Grade SMG,MP7 | Forest DDPAT (Battle-Scarred),MP7 | Forest DDPAT (Battle-Scarred),Yes,Battle-Scarred,The Bank Collection,Normal,Consumer Grade,MP7,0.03,0.03,0.03,0.05,USD,0,3098
Consumer Grade Pistol,P250 | Boreal Forest (Field-Tested),P250 | Boreal Forest (Field-Tested),Yes,Field-Tested,The Lake Collection,Normal,Consumer Grade,P250,0.03,0.03,0.03,0.05,USD,0,15935
Base Grade Graffiti,Graffiti | Tombstone (Desert Amber),Graffiti | Tombstone (Desert Amber),No,,,Normal,Base Grade,,,,,,,,
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Base Grade Graffiti,Sealed Graffiti | Eat It (Cash Green),Sealed Graffiti | Eat It (Cash Green),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,1106
Base Grade Graffiti,Sealed Graffiti | Speechless (Monarch Blue),Sealed Graffiti | Speechless (Monarch Blue),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,636
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Base Grade Graffiti,Sealed Graffiti | Mr. Teeth (Frog Green),Sealed Graffiti | Mr. Teeth (Frog Green),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,933
Base Grade Container,Spectrum Case,Spectrum Case,Yes,,The Spectrum Collection,Normal,Base Grade,,2.96,3.02,2.57,3.22,USD,4.78,76827
Base Grade Container,Glove Case,Glove Case,Yes,,The Glove Collection,Normal,Base Grade,,6.07,6.09,4.71,6.28,USD,2.51,81277
Consumer Grade SMG,P90 | Sand Spray (Factory New),P90 | Sand Spray (Factory New),Yes,Factory New,The Dust 2 Collection,Normal,Consumer Grade,P90,0.23,0.22,0.04,2.43,USD,109.52,182
Consumer Grade Shotgun,XM1014 | Blue Spruce (Field-Tested),XM1014 | Blue Spruce (Field-Tested),Yes,Field-Tested,The Lake Collection,Normal,Consumer Grade,XM1014,0.03,0.03,0.03,0.05,USD,0,14477
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Base Grade Graffiti,Sealed Graffiti | Death Sentence (Tracer Yellow),Sealed Graffiti | Death Sentence (Tracer Yellow),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,272
Base Grade Container,Glove Case,Glove Case,Yes,,The Glove Collection,Normal,Base Grade,,6.07,6.09,4.71,6.28,USD,2.51,81277
Base Grade Graffiti,Sealed Graffiti | GGEZ (Desert Amber),Sealed Graffiti | GGEZ (Desert Amber),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,860
Base Grade Container,Spectrum Case,Spectrum Case,Yes,,The Spectrum Collection,Normal,Base Grade,,2.96,3.02,2.57,3.22,USD,4.78,76827
Base Grade Graffiti,Sealed Graffiti | Take Flight (Bazooka Pink),Sealed Graffiti | Take Flight (Bazooka Pink),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.04,USD,0,603
Base Grade Container,Chroma 3 Case,Chroma 3 Case,Yes,,The Chroma 3 Collection,Normal,Base Grade,,2.6,2.64,2.2,2.89,USD,5.44,122571
Base Grade Graffiti,Sealed Graffiti | Rage Mode (Blood Red),Sealed Graffiti | Rage Mode (Blood Red),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,717
Base Grade Graffiti,Graffiti | Bling (Tiger Orange),Graffiti | Bling (Tiger Orange),No,,,Normal,Base Grade,,,,,,,,
Base Grade Container,Chroma 3 Case,Chroma 3 Case,Yes,,The Chroma 3 Collection,Normal,Base Grade,,2.6,2.64,2.2,2.89,USD,5.44,122571
Consumer Grade SMG,MP9 | Sand Dashed (Field-Tested),MP9 | Sand Dashed (Field-Tested),Yes,Field-Tested,The Dust 2 Collection,Normal,Consumer Grade,MP9,0.03,0.03,0.03,0.25,USD,66.67,12466
Industrial Grade Pistol,USP-S | Forest Leaves (Minimal Wear),USP-S | Forest Leaves (Minimal Wear),Yes,Minimal Wear,The Safehouse Collection,Normal,Industrial Grade,USP-S,0.29,0.29,0.27,0.33,USD,3.7,5350
Consumer Grade Pistol,Dual Berettas | Contractor (Minimal Wear),Dual Berettas | Contractor (Minimal Wear),Yes,Minimal Wear,The Safehouse Collection,Normal,Consumer Grade,Dual Berettas,0.03,0.03,0.03,0.05,USD,0,5220
Mil-Spec Grade Sniper Rifle,SCAR-20 | Blueprint (Field-Tested),SCAR-20 | Blueprint (Field-Tested),Yes,Field-Tested,The Spectrum Collection,Normal,Mil-Spec Grade,SCAR-20,0.16,0.16,0.13,0.21,USD,6.67,1814
Base Grade Graffiti,Sealed Graffiti | Lambda (Monarch Blue),Sealed Graffiti | Lambda (Monarch Blue),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,330
Mil-Spec Grade SMG,MP7 | Akoben (Field-Tested),MP7 | Akoben (Field-Tested),Yes,Field-Tested,The Spectrum Collection,Normal,Mil-Spec Grade,MP7,0.16,0.16,0.12,0.21,USD,6.67,1516
Consumer Grade Rifle,AUG | Contractor (Field-Tested),AUG | Contractor (Field-Tested),Yes,Field-Tested,The Italy Collection,Normal,Consumer Grade,AUG,0.03,0.03,0.03,0.04,USD,0,16024
Consumer Grade Pistol,Dual Berettas | Contractor (Battle-Scarred),Dual Berettas | Contractor (Battle-Scarred),Yes,Battle-Scarred,The Safehouse Collection,Normal,Consumer Grade,Dual Berettas,0.03,0.03,0.03,0.04,USD,0,4212
Mil-Spec Grade Rifle,M4A1-S | VariCamo (Field-Tested),M4A1-S | VariCamo (Field-Tested),Yes,Field-Tested,The Dust 2 Collection,Normal,Mil-Spec Grade,M4A1-S,1.59,1.57,1.13,1.79,USD,6.85,1824
Mil-Spec Grade Pistol,Tec-9 | Sandstorm (Minimal Wear),Tec-9 | Sandstorm (Minimal Wear),Yes,Minimal Wear,The Phoenix Collection,Normal,Mil-Spec Grade,Tec-9,1.57,1.61,0.03,1.94,USD,18.06,292
StatTrak™ Mil-Spec Grade SMG,StatTrak™ PP-Bizon | Jungle Slipstream (Factory New),StatTrak™ PP-Bizon | Jungle Slipstream (Factory New),Yes,Factory New,The Spectrum Collection,StatTrak™,Mil-Spec Grade,PP-Bizon,1.18,1.15,0.86,1.65,USD,11.01,195
Consumer Grade SMG,PP-Bizon | Urban Dashed (Well-Worn),PP-Bizon | Urban Dashed (Well-Worn),Yes,Well-Worn,The Train Collection,Normal,Consumer Grade,PP-Bizon,0.03,0.03,0.03,0.05,USD,0,1766
Mil-Spec Grade Pistol,Desert Eagle | Oxide Blaze (Field-Tested),Desert Eagle | Oxide Blaze (Field-Tested),Yes,Field-Tested,The Spectrum Collection,Normal,Mil-Spec Grade,Desert Eagle,0.32,0.32,0.29,0.36,USD,6.9,5584
Industrial Grade SMG,MAC-10 | Candy Apple (Factory New),MAC-10 | Candy Apple (Factory New),Yes,Factory New,The Train Collection,Normal,Industrial Grade,MAC-10,0.64,0.63,0.58,0.85,USD,3.39,4360
Industrial Grade Shotgun,Sawed-Off | Snake Camo (Minimal Wear),Sawed-Off | Snake Camo (Minimal Wear),Yes,Minimal Wear,The Dust 2 Collection,Normal,Industrial Grade,Sawed-Off,0.26,0.25,0.21,0.28,USD,4.17,1215
Base Grade Graffiti,Graffiti | Sorry (Monarch Blue),Graffiti | Sorry (Monarch Blue),No,,,Normal,Base Grade,,,,,,,,
Extraordinary Collectible,2017 Service Medal,2017 Service Medal,No,,,Normal,Extraordinary,,,,,,,,
Base Grade Graffiti,Graffiti | Quickdraw (Frog Green),Graffiti | Quickdraw (Frog Green),No,,,Normal,Base Grade,,,,,,,,
Industrial Grade Pistol,USP-S | Forest Leaves (Field-Tested),USP-S | Forest Leaves (Field-Tested),Yes,Field-Tested,The Safehouse Collection,Normal,Industrial Grade,USP-S,0.16,0.15,0.13,0.18,USD,6.67,9377
Industrial Grade Pistol,Five-SeveN | Orange Peel (Well-Worn),Five-SeveN | Orange Peel (Well-Worn),Yes,Well-Worn,The Dust 2 Collection,Normal,Industrial Grade,Five-SeveN,0.13,0.13,0.11,0.14,USD,8.33,119
Base Grade Graffiti,Graffiti | X-Knives (SWAT Blue),Graffiti | X-Knives (SWAT Blue),No,,,Normal,Base Grade,,,,,,,,
Extraordinary Collectible,2016 Service Medal,2016 Service Medal,No,,,Normal,Extraordinary,,,,,,,,
Industrial Grade Shotgun,Nova | Caged Steel (Minimal Wear),Nova | Caged Steel (Minimal Wear),Yes,Minimal Wear,The Bank Collection,Normal,Industrial Grade,Nova,0.24,0.24,0.21,0.28,USD,4.55,3082
Base Grade Graffiti,Graffiti | Noscope (Princess Pink),Graffiti | Noscope (Princess Pink),No,,,Normal,Base Grade,,,,,,,,
Industrial Grade Machinegun,M249 | Gator Mesh (Minimal Wear),M249 | Gator Mesh (Minimal Wear),Yes,Minimal Wear,The Safehouse Collection,Normal,Industrial Grade,M249,0.18,0.17,0.14,0.2,USD,5.88,2433
